index,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
152.0,"Jonathan Linton",16,29,228,7.9,14.3,239,1,28,1,0,39,2,74.4%,0,0,8,27.6%,1999.0,BUF
153.0,"Roland Williams",16,25,226,9.0,14.1,81,6,24,0,0,37,2,67.6%,0,0,14,56.0%,1999.0,STL
154.0,"Shannon Sharpe",5,23,224,9.7,44.8,84,0,24,0,0,37,0,62.2%,0,0,9,39.1%,1999.0,DEN
155.0,"Chris Warren",16,34,224,6.6,14.0,264,0,24,0,0,46,2,73.9%,0,0,10,29.4%,1999.0,DAL
156.0,"Irv Smith",13,24,222,9.3,17.1,72,1,22,0,0,42,2,57.1%,0,0,13,54.2%,1999.0,CLE
158.0,"Damon Jones",15,19,221,11.6,14.7,105,4,31,1,0,34,1,55.9%,0,0,15,78.9%,1999.0,JAX
159.0,"Jammi German",14,12,219,18.3,15.6,134,3,62,2,0,20,0,60.0%,0,0,9,75.0%,1999.0,ATL
160.0,"Marty Booker",9,19,219,11.5,24.3,142,3,57,2,1,34,0,55.9%,0,0,9,47.4%,1999.0,CHI
162.0,"Marc Edwards",16,27,212,7.9,13.3,178,2,27,2,0,40,3,67.5%,0,0,8,29.6%,1999.0,CLE
163.0,"Kenny Bynum",16,16,209,13.1,13.1,177,2,80,1,0,23,4,69.6%,2,0,6,37.5%,1999.0,SD
164.0,"Tyrone Davis",16,20,204,10.2,12.8,54,2,33,1,0,45,5,44.4%,0,0,11,55.0%,1999.0,GB
165.0,"William Henderson",16,30,203,6.8,12.7,185,1,22,0,0,40,4,75.0%,1,1,11,36.7%,1999.0,GB
166.0,"Reggie Barlow",14,16,202,12.6,14.4,45,0,31,2,0,28,3,57.1%,1,1,10,62.5%,1999.0,JAX
167.0,"Dwayne Carswell",16,24,201,8.4,12.6,69,2,20,0,0,38,3,63.2%,0,0,12,50.0%,1999.0,DEN
168.0,"Fred McCrary",16,37,201,5.4,12.6,202,1,38,1,0,50,5,74.0%,0,0,7,18.9%,1999.0,SD
169.0,"Rae Carruth",5,14,200,14.3,40.0,73,0,43,2,0,26,3,53.8%,0,0,9,64.3%,1999.0,CAR
170.0,"Herman Moore",8,16,197,12.3,24.6,59,2,26,1,0,31,4,51.6%,0,0,11,68.8%,1999.0,DET
171.0,"Lawrence Dawsey",10,16,196,12.3,19.6,74,1,57,1,0,33,0,48.5%,0,0,8,50.0%,1999.0,NO
172.0,"Tyrone Wheatley",16,21,196,9.3,12.3,203,3,28,3,0,38,6,55.3%,0,0,7,33.3%,1999.0,OAK
174.0,"Howard Griffith",16,26,192,7.4,12.0,168,1,20,0,0,39,4,66.7%,0,0,11,42.3%,1999.0,DEN
175.0,"Tim Biakabutuka",11,23,189,8.2,17.2,191,0,32,1,0,29,1,79.3%,1,0,9,39.1%,1999.0,CAR
176.0,"Na Brown",12,18,188,10.4,15.7,53,1,27,2,0,36,0,50.0%,0,0,9,50.0%,1999.0,PHI
177.0,"Will Blackwell",11,20,186,9.3,16.9,27,0,26,1,0,36,1,55.6%,1,0,11,55.0%,1999.0,PIT
178.0,"Napoleon Kaufman",16,18,181,10.1,11.3,187,1,50,1,0,25,2,72.0%,0,0,7,38.9%,1999.0,OAK
179.0,"Dietrich Jells",14,10,180,18.0,12.9,98,2,57,2,0,29,1,34.5%,0,0,7,70.0%,1999.0,PHI
180.0,"Matthew Hatchette",13,9,180,20.0,13.8,74,2,80,1,0,19,0,47.4%,0,0,7,77.8%,1999.0,MIN
181.0,"William Floyd",16,21,179,8.5,11.2,163,0,25,1,0,32,3,65.6%,0,0,8,38.1%,1999.0,CAR
182.0,"Mark Bruener",14,18,176,9.8,12.6,65,0,29,1,0,35,0,51.4%,0,0,6,33.3%,1999.0,PIT
183.0,"Karl Williams",13,21,176,8.4,13.5,60,0,14,0,0,33,2,63.6%,0,0,9,42.9%,1999.0,TB
184.0,"O.J. Santiago",14,15,174,11.6,12.4,90,0,46,1,0,31,0,48.4%,0,0,8,53.3%,1999.0,ATL
185.0,"Ron Rivers",7,22,173,7.9,24.7,162,1,31,1,0,25,0,88.0%,0,0,8,36.4%,1999.0,DET
186.0,"Ken Oxendine",12,17,172,10.1,14.3,132,1,32,1,0,23,0,73.9%,0,0,8,47.1%,1999.0,ATL
187.0,"Michael Basnight",13,16,172,10.8,13.2,210,0,47,2,0,19,1,84.2%,0,0,4,25.0%,1999.0,CIN
188.0,"Ricky Williams",12,28,172,6.1,14.3,162,0,29,1,0,40,6,70.0%,0,0,8,28.6%,1999.0,NO
189.0,"Errict Rhett",16,24,169,7.0,10.6,208,2,20,0,0,32,1,75.0%,0,0,7,29.2%,1999.0,BAL
190.0,"Michael Irvin",4,10,167,16.7,41.8,33,3,37,3,1,20,1,50.0%,0,0,8,80.0%,1999.0,DAL
191.0,"Leroy Hoard",15,17,166,9.8,11.1,134,0,29,1,0,20,0,85.0%,1,0,8,47.1%,1999.0,MIN
192.0,"Robert Smith",13,24,166,6.9,12.8,197,0,34,1,0,30,1,80.0%,0,0,6,25.0%,1999.0,MIN
193.0,"Ronnie Harris",13,10,164,16.4,12.6,30,0,24,0,0,19,0,52.6%,1,1,6,60.0%,1999.0,ATL
161.0,"Andre Rison",15,21,218,10.4,14.5,27,0,20,0,0,45,3,46.7%,0,0,11,52.4%,1999.0,KAN
143.0,"Irving Fryar",16,26,254,9.8,15.9,38,2,30,2,0,47,1,55.3%,0,0,16,61.5%,1999.0,WAS
194.0,"Scott Slutzker",11,11,164,14.9,14.9,64,1,42,2,0,18,3,61.1%,1,0,7,63.6%,1999.0,NO
195.0,"Sam Gash",15,20,163,8.2,10.9,137,2,31,1,0,29,3,69.0%,0,0,9,45.0%,1999.0,BUF
196.0,"Fred Lane",15,23,163,7.1,10.9,205,0,23,0,0,30,4,76.7%,0,0,5,21.7%,1999.0,CAR
197.0,"Jerome Pathon",11,14,163,11.6,14.8,26,0,38,1,0,33,3,42.4%,0,0,7,50.0%,1999.0,IND
198.0,"Robert Holcombe",15,14,163,11.6,10.9,121,1,30,2,0,27,2,51.9%,2,1,9,64.3%,1999.0,STL
199.0,"Macey Brooks",9,14,160,11.4,17.8,57,0,30,1,0,27,1,51.9%,0,0,10,71.4%,1999.0,CHI
200.0,"Olandis Gary",12,21,159,7.6,13.3,147,0,21,0,0,29,4,72.4%,0,0,5,23.8%,1999.0,DEN
201.0,"Aaron Craver",13,19,154,8.1,11.8,102,0,29,2,0,42,3,45.2%,0,0,6,31.6%,1999.0,NO
202.0,"Clif Groce",16,25,154,6.2,9.6,167,0,14,0,0,41,4,61.0%,0,0,6,24.0%,1999.0,CIN
